Variable,Class
ACCTAGE,Continuous
DDA,Binary
DDABAL,Continuous
DEP,Continuous
DEPAMT,Continuous
CASHBK,Ordinal
CHECKS,Continuous
DIRDEP,Binary
NSF,Ordinal
NSFAMT,Continuous
PHONE,Continuous
TELLER,Continuous
SAV,Binary
SAVBAL,Continuous
ATM,Binary
ATMAMT,Continuous
POS,Continuous
POSAMT,Continuous
CD,Binary
CDBAL,Continuous
IRA,Binary
IRABAL,Continuous
LOC,Binary
LOCBAL,Continuous
INV,Binary
INVBAL,Continuous
ILS,Binary
ILSBAL,Continuous
MM,Binary
MMBAL,Continuous
MMCRED,Ordinal
MTG,Binary
MTGBAL,Continuous
CC,Binary
CCBAL,Continuous
CCPURC,Ordinal
SDB,Binary
INCOME,Continuous
HMOWN,Binary
LORES,Continuous
HMVAL,Continuous
AGE,Continuous
CRSCORE,Continuous
MOVED,Binary
INAREA,Binary
BRANCH,Nominal
RES,Nominal